Student_ID,Application_order,Previous_qualification_grade,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Scholarship_holder,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Marital_status_Married,Marital_status_Separated/Widowed,Marital_status_Single,Application_mode_1st phase - general contingent,Application_mode_1st phase - special contingent (Azores Island),Application_mode_1st phase - special contingent (Madeira Island),Application_mode_2nd phase - general contingent,Application_mode_3rd phase - general contingent,Application_mode_Change of course,Application_mode_Change of institution/course,Application_mode_Change of institution/course (International),Application_mode_Holders of other higher courses,Application_mode_International student (bachelor),"Application_mode_Ordinance No. 533-A/99, item b2) (Different Plan)","Application_mode_Ordinance No. 533-A/99, item b3 (Other Institution)",Application_mode_Ordinance No. 612/93,Application_mode_Ordinance No. 854-B/99,Application_mode_Over 23 years old,Application_mode_Short cycle diploma holders,Application_mode_Technological specialization diploma holders,Application_mode_Transfer,Course_Advertising and Marketing Management,Course_Agronomy,Course_Animation and Multimedia Design,Course_Basic Education,Course_Biofuel Production Technologies,Course_Communication Design,Course_Equinculture,Course_Informatics Engineering,Course_Journalism and Communication,Course_Management,Course_Management (evening attendance),Course_Nursing,Course_Oral Hygiene,Course_Social Service,Course_Social Service (evening attendance),Course_Tourism,Course_Veterinary Nursing,Daytime_evening_attendance_DayTime,Daytime_evening_attendance_Evening,Previous_qualification_Associate Degree,Previous_qualification_Bachelor Degree,Previous_qualification_Master Degree,Previous_qualification_Senior High School,Nacionality_Angolan,Nacionality_Brazilian,Nacionality_Cape Verdean,Nacionality_Colombian,Nacionality_Cuban,Nacionality_Dutch,Nacionality_English,Nacionality_German,Nacionality_Guinean,Nacionality_Italian,Nacionality_Lithuanian,Nacionality_Mexican,Nacionality_Moldova (Republic of),Nacionality_Mozambican,Nacionality_Portuguese,Nacionality_Romanian,Nacionality_Russian,Nacionality_Santomean,Nacionality_Spanish,Nacionality_Turkish,Nacionality_Ukrainian,Mothers_qualification_Associate Degree,Mothers_qualification_Bachelor Degree,Mothers_qualification_Master Degree,Mothers_qualification_Senior High School,Fathers_qualification_Associate Degree,Fathers_qualification_Bachelor Degree,Fathers_qualification_Master Degree,Fathers_qualification_Senior High School,Mothers_occupation_Blue Collar,Mothers_occupation_Homemaker,Mothers_occupation_Professional,Mothers_occupation_White Collar,Fathers_occupation_Blue Collar,Fathers_occupation_Professional,Fathers_occupation_Unemployed,Fathers_occupation_White Collar,Gender_Female,Gender_Male,Age_at_enrollment_17-25,Age_at_enrollment_26-35,Age_at_enrollment_36-45,Age_at_enrollment_46-55,Age_at_enrollment_55+
1000001,2.102099317686916,-0.834071617346235,0.03509676529739134,0.9075119316119963,0.0,0.0,0.0,0.0,0.0,0.0,-2.6276837811769838,-2.215381454756622,-1.6814258092589098,-1.9236497599227986,0.0,0.0,-2.6447626252628305,-2.1656640384544152,-1.511364155853715,-1.78640131376842,0.0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1000002,-0.6191763250376455,2.1839470209113316,1.1211874063788516,0.9075119316119963,0.0,0.0,0.0,0.0,0.0,0.0,-0.09254627208812184,-0.5817253447705187,0.5195687010955878,0.9353563787964186,0.0,0.0,-0.12298238836154035,-0.5354279135399466,0.546584451562978,0.7915225507637236,0.0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1000003,2.102099317686916,-0.834071617346235,-0.1435365638278488,0.9075119316119963,0.0,0.0,0.0,0.0,0.0,0.0,-0.09254627208812184,-2.215381454756622,-1.6814258092589098,-1.9236497599227986,0.0,0.0,-0.12298238836154035,-2.1656640384544152,-1.511364155853715,-1.78640131376842,0.0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1000004,0.46933393205217905,-0.834071617346235,-0.5150938884083485,0.9075119316119963,0.0,0.0,0.0,0.0,0.0,0.0,-0.09254627208812184,-0.03717330810848436,0.5195687010955878,0.6878233797731099,0.0,0.0,-0.12298238836154035,0.5513961697363661,0.2035930169935292,0.3107318422865635,0.0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1000005,-0.6191763250376455,-2.382791708031039,1.0497340747287556,-1.101913886932284,0.0,0.0,0.0,0.0,0.0,0.0,-0.09254627208812184,0.23510271022253285,0.1527362827031716,0.21338513164510148,0.0,0.0,-0.12298238836154035,-0.5354279135399466,0.546584451562978,0.5384748094599552,0.0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1000006,-0.6191763250376455,0.04750751119742221,-0.8580698803288094,-1.101913886932284,0.0,0.0,0.0,0.0,0.0,0.0,-0.7263306493603373,0.50737872855355,0.1527362827031716,0.007107632459010755,0.0,0.0,-0.7534274475868629,2.181632294650835,0.2035930169935292,-0.030882608473524406,0.0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1000007,-0.6191763250376455,0.7543592448945896,0.11369543011249762,0.9075119316119963,0.0,0.0,0.0,0.0,0.0,0.0,0.5412381051840937,0.23510271022253285,0.8864011194880042,0.6321284549928656,0.0,0.0,1.1379077300891045,0.007984128098209756,1.2325673207018757,1.0489986275403087,0.0,1.476924272807967,1.1370048489905784,-1.7896667428492534,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1000008,2.102099317686916,-1.0723362466823587,-0.9795405441339728,0.9075119316119963,0.0,0.0,0.0,0.0,0.0,0.0,-0.7263306493603373,-0.854001363101536,-1.6814258092589098,-1.9236497599227986,0.0,0.0,-0.7534274475868629,-0.8071339343590247,-1.511364155853715,-1.78640131376842,0.0,1.476924272807967,1.1370048489905784,-1.7896667428492534,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1000009,1.5578441891420036,0.3572515293343835,0.17800342859758447,-1.101913886932284,0.0,0.0,0.0,0.0,0.0,0.0,-0.09254627208812184,-0.03717330810848436,0.5195687010955878,0.8812085352600698,0.0,0.0,-0.12298238836154035,-0.2637218927208684,0.546584451562978,0.9722709374092727,0.0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1000010,-0.6191763250376455,0.43667307244642467,-0.2721525607980215,0.9075119316119963,0.0,0.0,0.0,0.0,0.0,0.0,-0.09254627208812184,0.23510271022253285,0.1527362827031716,-0.19091876675963637,0.0,0.0,-0.12298238836154035,1.6382202530126786,-0.8253812867148174,0.7282606154377816,0.0,-1.0009723271182625,0.12438647318417584,1.545606837207885,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
